PlayerID,Age,Gender,Location,GameID,GameName,GameGenre,GameDifficulty,PlayTimeHours,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel,DaysPlayed,PurchaseCount,TotalSpend,AvgPurchasesPerMonth,AvgPurchaseValue,SpendingPropensity,PlayerExpertise
1,24.0,Male,USA,ACT_001,Battle Royale Extreme,Action,Medium,50.0,8.0,61.0,10.0,10.0,Medium,17.0,4.0,80.0,7.06,20.0,Occasional,Intermediate
1,24.0,Male,USA,RPG_002,Mystic Realms Online,RPG,Medium,150.0,5.0,124.0,13.0,13.0,Medium,47.0,8.0,80.0,5.11,10.0,Occasional,Intermediate
1,24.0,Male,USA,ACT_003,Street Fighter Ultimate,Action,Easy,131.66,14.0,53.0,26.0,29.0,Medium,73.0,5.0,10.82,2.05,2.16,Occasional,Beginner
2,27.0,Male,Asia,STR_001,Empire Builder,Strategy,Easy,398.34,3.0,168.0,44.0,9.0,Medium,329.0,6.0,80.0,0.55,13.33,Occasional,Beginner
3,27.0,Male,Europe,ACT_001,Battle Royale Extreme,Action,Hard,119.72,4.0,50.0,30.0,12.0,Low,232.0,0.0,0.0,0.0,0.0,NonSpender,Intermediate
4,26.0,Other,Europe,ACT_001,Battle Royale Extreme,Action,Easy,79.88,6.0,51.0,15.0,15.0,Medium,96.0,1.0,5.33,0.31,5.33,Occasional,Beginner
5,24.0,Male,USA,ACT_002,Zombie Apocalypse,Action,Medium,240.0,11.0,63.0,50.0,27.0,High,150.0,7.0,80.0,1.4,11.43,Occasional,Intermediate
6,37.0,Male,USA,ACT_002,Zombie Apocalypse,Action,Medium,233.76,6.0,83.0,50.0,51.0,Medium,202.0,0.0,0.0,0.0,0.0,NonSpender,Intermediate
7,26.0,Male,USA,RPG_001,Dragon's Quest,RPG,Easy,100.0,3.0,125.0,16.0,4.0,Medium,17.0,3.0,57.28,5.29,19.09,Occasional,Beginner
8,48.0,Male,Asia,ACT_003,Street Fighter Ultimate,Action,Easy,25.0,4.0,69.0,1.0,1.0,Low,29.0,0.0,0.0,0.0,0.0,NonSpender,Beginner
8,48.0,Male,Asia,RPG_001,Dragon's Quest,RPG,Medium,100.0,2.0,155.0,30.0,16.0,Low,106.0,1.0,3.47,0.28,3.47,Occasional,Beginner
8,48.0,Male,Asia,RPG_002,Mystic Realms Online,RPG,Hard,150.0,2.0,141.0,12.0,14.0,Low,23.0,0.0,0.0,0.0,0.0,NonSpender,Beginner
9,20.0,Male,Europe,ACT_001,Battle Royale Extreme,Action,Medium,50.0,11.0,49.0,18.0,8.0,Low,15.0,0.0,0.0,0.0,0.0,NonSpender,Intermediate
10,31.0,Female,Europe,ACT_001,Battle Royale Extreme,Action,Easy,63.37,13.0,49.0,12.0,8.0,Medium,42.0,1.0,19.2,0.71,19.2,Occasional,Beginner
10,31.0,Female,Europe,RPG_002,Mystic Realms Online,RPG,Hard,150.0,2.0,107.0,9.0,8.0,Low,143.0,0.0,0.0,0.0,0.0,NonSpender,Beginner
10,31.0,Female,Europe,STR_002,Tower Defense Masters,Strategy,Hard,20.0,4.0,158.0,22.0,12.0,Low,8.0,0.0,0.0,0.0,0.0,NonSpender,Intermediate
11,25.0,Male,USA,ACT_003,Street Fighter Ultimate,Action,Easy,54.01,3.0,72.0,7.0,10.0,Low,126.0,0.0,0.0,0.0,0.0,NonSpender,Beginner
12,23.0,Male,Asia,STR_002,Tower Defense Masters,Strategy,Easy,108.64,6.0,199.0,63.0,30.0,Medium,44.0,0.0,0.0,0.0,0.0,NonSpender,Beginner
12,23.0,Male,Asia,RPG_003,Dungeon Crawler Deluxe,RPG,Easy,53.14,4.0,113.0,21.0,1.0,Low,51.0,0.0,0.0,0.0,0.0,NonSpender,Beginner
13,25.0,Male,Asia,ACT_001,Battle Royale Extreme,Action,Easy,50.0,3.0,74.0,11.0,11.0,Medium,65.0,7.0,80.0,3.23,11.43,Occasional,Beginner
13,25.0,Male,Asia,RPG_001,Dragon's Quest,RPG,Easy,100.0,7.0,139.0,14.0,7.0,Low,16.0,2.0,53.45,3.75,26.72,Occasional,Beginner
14,28.0,Female,USA,ACT_001,Battle Royale Extreme,Action,Easy,63.64,11.0,53.0,3.0,1.0,Medium,41.0,8.0,80.0,5.85,10.0,Occasional,Beginner
15,24.0,Male,USA,ACT_001,Battle Royale Extreme,Action,Easy,55.52,8.0,68.0,15.0,5.0,Medium,40.0,2.0,17.39,1.5,8.7,Occasional,Beginner
15,24.0,Male,USA,RPG_002,Mystic Realms Online,RPG,Easy,274.55,8.0,153.0,8.0,13.0,Medium,82.0,6.0,80.0,2.2,13.33,Occasional,Beginner
16,30.0,Male,USA,ACT_001,Battle Royale Extreme,Action,Hard,65.54,7.0,120.0,16.0,11.0,Medium,32.0,5.0,59.5,4.69,11.9,Occasional,Intermediate
16,30.0,Male,USA,RPG_002,Mystic Realms Online,RPG,Hard,162.73,4.0,103.0,10.0,9.0,Medium,139.0,1.0,13.81,0.22,13.81,Occasional,Beginner
17,48.0,Male,USA,ACT_001,Battle Royale Extreme,Action,Medium,183.01,7.0,87.0,44.0,28.0,Medium,106.0,8.0,80.0,2.26,10.0,Occasional,Intermediate
18,23.0,Male,Europe,RPG_001,Dragon's Quest,RPG,Medium,288.92,12.0,86.0,34.0,12.0,Medium,108.0,4.0,80.0,1.11,20.0,Occasional,Beginner
19,22.0,Female,Europe,RPG_001,Dragon's Quest,RPG,Hard,100.0,2.0,,19.0,,Low,139.0,0.0,0.0,0.0,0.0,NonSpender,Beginner
20,16.0,Male,USA,STR_002,Tower Defense Masters,Strategy,Hard,240.0,7.0,146.0,75.0,72.0,Medium,496.0,5.0,35.17,0.3,7.03,Occasional,Expert
20,16.0,Male,USA,RPG_001,Dragon's Quest,RPG,Hard,100.0,10.0,69.0,33.0,3.0,Medium,26.0,0.0,0.0,0.0,0.0,NonSpender,Intermediate
21,18.0,Female,Europe,STR_001,Empire Builder,Strategy,Medium,960.0,12.0,210.0,50.0,50.0,High,438.0,5.0,80.0,0.34,16.0,Occasional,Intermediate
21,18.0,Female,Europe,RPG_002,Mystic Realms Online,RPG,Medium,257.9,4.0,106.0,10.0,9.0,Medium,240.0,9.0,30.17,1.12,3.35,Occasional,Beginner
22,24.0,Female,USA,ACT_001,Battle Royale Extreme,Action,Hard,479.1,14.0,109.0,100.0,42.0,High,114.0,8.0,80.0,2.11,10.0,Occasional,Expert
23,39.0,Male,USA,ACT_002,Zombie Apocalypse,Action,Easy,60.05,6.0,64.0,15.0,4.0,Medium,68.0,1.0,4.42,0.44,4.42,Occasional,Beginner
24,33.0,Female,USA,RPG_002,Mystic Realms Online,RPG,Easy,150.0,5.0,153.0,15.0,13.0,Medium,56.0,6.0,55.1,3.21,9.18,Occasional,Beginner
25,27.0,Male,Europe,ACT_001,Battle Royale Extreme,Action,Easy,81.38,7.0,47.0,12.0,6.0,Medium,123.0,4.0,37.14,0.98,9.28,Occasional,Beginner
26,31.0,Female,Asia,ACT_003,Street Fighter Ultimate,Action,Easy,104.12,3.0,30.0,24.0,7.0,Medium,415.0,4.0,66.12,0.29,16.53,Occasional,Beginner
27,40.0,Male,USA,ACT_001,Battle Royale Extreme,Action,Hard,86.67,15.0,52.0,25.0,17.0,Low,43.0,4.0,46.26,2.79,11.56,Occasional,Intermediate
28,17.0,Male,Europe,RPG_002,Mystic Realms Online,RPG,Easy,150.0,4.0,102.0,5.0,5.0,Low,32.0,0.0,0.0,0.0,0.0,NonSpender,Beginner
29,41.0,Female,Europe,RPG_001,Dragon's Quest,RPG,Hard,100.0,7.0,96.0,26.0,13.0,Low,48.0,0.0,0.0,0.0,0.0,NonSpender,Intermediate
29,41.0,Female,Europe,RPG_002,Mystic Realms Online,RPG,Hard,959.71,9.0,218.0,46.0,79.0,Medium,206.0,3.0,45.96,0.44,15.32,Occasional,Intermediate
29,41.0,Female,Europe,STR_001,Empire Builder,Strategy,Medium,50.0,2.0,212.0,10.0,16.0,Low,26.0,0.0,0.0,0.0,0.0,NonSpender,Beginner
30,32.0,Female,USA,RPG_001,Dragon's Quest,RPG,Medium,186.73,6.0,133.0,53.0,26.0,Medium,84.0,4.0,25.89,1.43,6.47,Occasional,Intermediate
31,36.0,Male,Europe,STR_001,Empire Builder,Strategy,Easy,204.37,7.0,137.0,19.0,41.0,Medium,90.0,4.0,38.53,1.33,9.63,Occasional,Beginner
32,18.0,Male,USA,RPG_001,Dragon's Quest,RPG,Medium,262.89,4.0,132.0,80.0,77.0,Medium,222.0,4.0,17.95,0.54,4.49,Occasional,Expert
